id,supplier_id,buyer_id,amount,date,due_date,scenario,is_duplicate
INV-2026-0001,S-105,B-009,1128317,2026-08-16,2026-09-15,Historical Record,False
INV-2026-0002,S-103,B-003,2163953,2026-07-18,2026-08-17,Historical Record,False
INV-2026-0003,S-106,B-005,948610,2026-07-23,2026-08-22,Historical Record,False
INV-2026-0004,S-102,B-009,8841081,2026-07-19,2026-08-18,Historical Record,False
INV-2026-0005,S-106,B-010,187659,2026-08-24,2026-09-23,Historical Record,False
INV-2026-0006,S-108,B-002,730215,2026-08-19,2026-09-18,Historical Record,False
INV-2026-0007,S-103,B-005,1034851,2026-07-16,2026-08-15,Historical Record,False
INV-2026-0008,S-106,B-002,269785,2026-08-15,2026-09-14,Historical Record,False
INV-2026-0009,S-110,B-009,2339828,2026-07-17,2026-08-16,Historical Record,False
INV-2026-0010,S-103,B-005,556093,2026-07-24,2026-08-23,Historical Record,False
INV-2026-0011,S-110,B-006,70773,2026-07-06,2026-08-05,Historical Record,False
INV-2026-0012,S-106,B-008,4234016,2026-08-13,2026-09-12,Historical Record,False
INV-2026-0013,S-103,B-001,985441,2026-08-11,2026-09-10,Historical Record,True
INV-2026-0014,S-110,B-002,281021,2026-07-25,2026-08-24,Historical Record,True
INV-2026-0015,S-108,B-009,1020044,2026-08-02,2026-09-01,Historical Record,False
INV-2026-0016,S-106,B-003,3547913,2026-08-13,2026-09-12,Historical Record,False
INV-2026-0017,S-106,B-002,2436462,2026-07-22,2026-08-21,Historical Record,False
INV-2026-0018,S-109,B-004,1691896,2026-08-26,2026-09-25,Historical Record,False
INV-2026-0019,S-105,B-006,76564,2026-07-30,2026-08-29,Historical Record,False
INV-2026-0020,S-103,B-005,423477,2026-08-31,2026-09-30,Historical Record,False
INV-2026-0021,S-108,B-004,243165,2026-07-26,2026-08-25,Historical Record,False
INV-2026-0022,S-101,B-005,683888,2026-08-04,2026-09-03,Historical Record,False
INV-2026-0023,S-104,B-007,358126,2026-08-04,2026-09-03,Historical Record,False
INV-2026-0024,S-107,B-008,3339199,2026-07-08,2026-08-07,Historical Record,False
INV-2026-0025,S-107,B-007,1448598,2026-08-16,2026-09-15,Historical Record,False
INV-2026-0026,S-110,B-006,91478,2026-07-28,2026-08-27,Historical Record,False
INV-2026-0027,S-101,B-002,595548,2026-07-11,2026-08-10,Historical Record,False
INV-2026-0028,S-110,B-009,2742525,2026-08-23,2026-09-22,Historical Record,False
INV-2026-0029,S-110,B-009,1310735,2026-07-23,2026-08-22,Historical Record,False
INV-2026-0030,S-103,B-003,1991259,2026-08-12,2026-09-11,Historical Record,False
INV-2026-0031,S-109,B-010,1466062,2026-07-06,2026-08-05,Historical Record,False
INV-2026-0032,S-107,B-006,155841,2026-08-08,2026-09-07,Historical Record,False
INV-2026-0033,S-107,B-008,2756451,2026-08-17,2026-09-16,Historical Record,False
INV-2026-0034,S-106,B-003,2418776,2026-07-07,2026-08-06,Historical Record,False
INV-2026-0035,S-110,B-004,1410231,2026-08-19,2026-09-18,Historical Record,False
INV-2026-0036,S-109,B-003,3183504,2026-08-25,2026-09-24,Historical Record,False
INV-2026-0037,S-102,B-008,2453573,2026-07-13,2026-08-12,Historical Record,False
INV-2026-0038,S-101,B-006,138960,2026-07-28,2026-08-27,Historical Record,False
INV-2026-0039,S-101,B-009,1810027,2026-07-23,2026-08-22,Historical Record,False
INV-2026-0040,S-108,B-003,2994505,2026-07-10,2026-08-09,Historical Record,True
INV-2026-0041,S-104,B-003,3697043,2026-08-31,2026-09-30,Historical Record,False
INV-2026-0042,S-102,B-009,2523394,2026-07-11,2026-08-10,Historical Record,False
INV-2026-0043,S-103,B-001,1047020,2026-07-28,2026-08-27,Historical Record,False
INV-2026-0044,S-101,B-005,4471983,2026-08-17,2026-09-16,Historical Record,False
INV-2026-0045,S-105,B-008,14976523,2026-07-17,2026-08-16,Historical Record,False
INV-2026-0046,S-104,B-010,247979,2026-08-02,2026-09-01,Historical Record,False
INV-2026-0047,S-108,B-007,450079,2026-08-05,2026-09-04,Historical Record,True
INV-2026-0048,S-101,B-008,4409024,2026-07-19,2026-08-18,Historical Record,False
INV-2026-0049,S-109,B-010,196458,2026-08-17,2026-09-16,Historical Record,False
INV-2026-0050,S-109,B-003,10686205,2026-08-05,2026-09-04,Historical Record,False
